reviews,reviewers,date_reviews,rating,course_id
"Was quite the challenge. Without the help of peers, it would be impossible. Course content compared to the assignment were very different levels of difficulty. Assignment was much more difficult. Instructions were somewhat vague",By Jaya G,"May 21, 2019",2,python-for-applied-data-science-ai
"The instructor usually reads what is on the slides, which makes following the lecture very boring.The questions in the exams are often unclear and some subjects are not mentioned in the videos.The final exercise is impossible to complete without hours of study of a software (QGIS), because the instructions in the video are from 2017, and the software has changed in the meantime.Also, the discussions forums are not monitored, which makes them not very useful.",By Mariangela C,"Aug 18, 2020",2,epidemiology-tools
Needed more hands on questions and not the same ones as in the video. Expected more from an IBM professional certificate.,By Ashwin D,"Apr 26, 2020",2,python-for-applied-data-science-ai
"I was a bit disappointed... I hoped to dive a little deeper into HR this time, but all the information was quite self-evident. ",By Eline J,"Oct 08, 2017",2,recruiting-hiring-onboarding-employees
Three of the Qwiklabs malfunctioned/did not work.  ,By Dennis P,"Jun 23, 2020",2,google-kubernetes-engine
"This course was extremely difficult for me, in particular week 3. I found myself confused a lot because I was listening to the videos. However, I decided to try just reading the material and the video transcripts and by doing so was able to get a better grasp on the information and pass my course!",By Jennifer B,"Aug 31, 2020",2,computer-networking
"Very basic course, I was able to complete the 4 weeks on content in a weekend. I would recommend skipping this module and moving directly to the R Programming course.",By Brendan L,"Mar 28, 2017",2,data-scientists-tools
"Practical information, but I wish we would have the ability to create our own material for the assignments rather than using the school templates. The pace was also a bit slow for my liking. I would recommend to combine with Project Planning course, but then create a separate course for Agile PM.",By Lauren R,"Oct 19, 2017",2,project-management
Some hard statistical/mathematical concepts with little explanation. Bad pacing and confusing structure. ,By Alfonso F,"May 07, 2017",2,analytics-excel
"Poorly made with very little thought gone into the making of this specific course. Youtube was a great supplementary information hub where many of the topics were discussed in more depth than in this course itself! Overall, a very unhappy experience. ",By Gabriel A,"Aug 14, 2020",2,wharton-introduction-spreadsheets-models
"Course coordinators don't monitor the forums enough, so obtaining help from them is next to impossible. Aside from that good course, would be nicer if it focused on more modern plotting frameworks (Plotly, etc...)",By Michael A,"Aug 28, 2018",2,python-plotting
It is very basic and don't have details. New person will find it difficult to understand what is going on,By Balkrishna K,"Apr 16, 2020",2,gcp-big-data-ml-fundamentals
No practice challenge for last few weeks especially for Dashboard.,By MD. S S,"Aug 08, 2020",2,excel-advanced
It was a good course. But it doesn't worth the money. Paying $69 is just too much for this elementary course.,By Minhaz I K,"Nov 18, 2016",2,grammar-punctuation
"Very disappointed with this course.It's not a course where someone teaches and you can get excited. Only shows the interface with someone reading a script in the background. Extremely boring. I tried to get through it, but just couldn't. Courses on Creative Live or learning from some free Youtube videos are (sadly) much better than paying for this course.I can honestly say that will all the courses I've taken online, this was the worst for me.Sorry LearnQuest.",By Blaine L,"Apr 16, 2020",2,mastering-final-cut-pro
"i want to have a conversation with those who review my submissions!plzzz, do the needful.",By Sanya S,"Jul 23, 2020",2,uva-darden-design-thinking-innovation
it is a very good and useful course but the content is too little so that I cannot understand the context.,By Aekachan P,"Oct 25, 2018",2,duke-behavioral-finance
Would have been fine as a 1 week introduction to the material but as a stand alone course was insufficient. ,By Matthew W,"Sep 30, 2018",2,big-data-introduction
Expected more from an IBM professional certificate.,By Ashwin D,"Apr 26, 2020",2,data-science-methodology
"I do not recommend this course to a complete beginner. There is a huge gulf between the coursework and assignment, I spent countless hours in solving the assignments and eventually had to take help from the internet. The theory part of the course is also taught very dry, where the professor is just reading lines in the slides. I regret subscribing for this course.  ",By Aditya R,"Jul 10, 2020",2,r-programming
Npy quite engaging.,By Islom G,"May 27, 2020",2,creative-problem-solving
Very basic stuff. The course can be helpful for more experienced people but not a ton. Had tons of problems with the labs in this course not getting graded.,By Deleted A,"Jun 25, 2018",2,os-power-user
Extremely dull. The audio is from a concall and the powerpoints are dull. ,By Chan C M,"Jul 10, 2020",2,introduction-cybersecurity-cyber-attacks
"too much theory, I needed something more 'pratical' that allowed me to start using and write code and not see a lot of slide with code",By Riccardo B,"Mar 27, 2020",2,sql-for-data-science
quizzes were thoughtfulpeer work not so muchaudio was poorcontent without context of era,By Alice Z,"Feb 26, 2018",2,magic-middle-ages
"I will fail because, despite submitting my assignment on time,  they were not graded by my peers on time.  Please notice that I took excellent grade on all quizzes and assignments.  The entire peer grading system is a fraud. Professors and Teaching assistants are supposed to grade assignments, not students.  I paid a fee and I deserve my assignments to be graded properly and on time.  This is a fraud!  ",By Carlo S,"Oct 22, 2018",2,global-financial-markets-instruments
"Sorry, I would expect more from university backed course",By Deleted A,"May 02, 2020",2,blockchain-basics
fair,By Sarfraz A,"Sep 22, 2020",2,duke-behavioral-finance
"El profesor es muy malo explicando, hay cosas las cuales no tenian sentido (creo yo que esto es porque justamente el profesor no sabe y explicar) y ademas las preguntas que hace en medio de los videos son ridiculas. Da preguntas sin haber antes explicado el conocimiento previo.",By Michael S,"Jan 20, 2017",2,crypto
"This course is in need of a healthy overhaul from content to lab to final assignment. I would recommend adding a recap ""week"" just for data frame manipulation.  As with many of the courses, the labs could use some proofreading and updating, this course skips around a lot.",By Gabriel A,"May 19, 2020",2,python-for-data-visualization
"The material is good. However, the peer review format is poor. Most students submit copied answers, literally, they are all the same and they are not even correct. Student's don't bother reading the instructions or questions of the tests. Which indicates that I don't even know if their review of my own submissions are correctly evaluated. And the professors of the course are not available. ",By Cynthia C,"Sep 06, 2020",2,quantitative-methods
"2 stars because the theoretical part is ok but programming assignments are waste of time. I'm not here (and paid) to be trained to use something the instructor is trying to SELL, nor will I ever recommend this product for commercial use.  I will switch to other ""not recommended"" packages in the later parts of this specialization.They should put the disclaimer for Graphlab Create in the specialization page so people can be aware of this.Besides, the sound of that Giraffe toy is really, really annoying.",By Simiao L,"Jan 03, 2016",2,ml-foundations
"Changed my mind after watching the cooking. The course on nutrition is just ""ok"" but the teacher has a very skewed idea about what ""healthy cooking"" really is and fails to present with reasons for her recipe choices.Anyway I stopped watching the course, again, the nutritional part is fairly good but if you choose to continue the course at least make sure you keep searching for other points of view as well.Best of luck.",By Sergiu,"Jan 02, 2016",2,childnutrition
"I found this course heavy going. There were no notes and I could not afford the recommended textbooks. I found myself having to search for information in the videos in order to complete quizzes and assignments. I passed the course, but have opted to do the IBM Professional Certificate instead of continuing with the specialisation.",By Myles A S,"Aug 09, 2020",2,python-data-analysis
"Although this course was informative, it was not anywhere close to as interesting as other most of the other courses on this platform. Furthermore, the course is better suited for working individuals and not students because of the way the assignments are structured.",By SANKRIT K,"Jun 21, 2020",2,uva-darden-design-thinking-innovation
very easy... it is about 3 hour course and you are taking 7 weeks for it,By Dalpat I,"Mar 25, 2020",2,python
"Lots of theory and concepts, but little in the way of how to solve customer analytics problems yourself. ",By Ananth V B,"Feb 09, 2017",2,wharton-customer-analytics
"Firstly the videos and the swirl practice were very good and I leart a lot from them. However, the assignments were very difficult. There is a huge gab beetwen the content of the course and the assigments. This course is not for beginners. ",By Sara F O,"May 14, 2020",2,r-programming
"Came from the predecessor specialization by Duke, which was really great. So I had high expectations for this course.But this course introduces not much new (only some library using), no new programming concepts. I also didn't like the programming assignments (one ""big"" project). They were not challenging at all (much too easy), and also not really interesting (repetition and expansion of an assignment at Dukes). You are also not writing that much code, because you get too much from them, where you just have to add a little here and there. Liked, that they divided the videos into different stages (core, concept challenge, when I struggled), so you only have to watch the videos, that you find necessary.I hope the next course will be more interesting and challenging.",By Kerstin K,"May 23, 2017",2,object-oriented-java
"Many bugs, lecture content does not cover topics required to complete the assignments, assignment instructions are not written in a clear way.",By Emil K,"Jan 05, 2017",2,python-data-analysis
Good,By Subhash s,"Aug 06, 2020",2,fe-exam
Very hard course to finish as a new student in this field. ,By M. A K,"Oct 09, 2020",2,python
Very informative but very dry presentations.  ,By Jason E,"Aug 15, 2015",2,addiction-and-the-brain
"They put a lot of effort into it the course, however, they choose for some reason not to share the slides with their students. The accompanying book may be the standard, but yet it does not summarize the content as the slides do.The programming examples are to simple and to few.A vast amount of the video contains 'what we are going to cover' and 'what we have have'. This would make sense, if there are longer videos, but not if there is just one or two minutes of content.",By Simon S R,"Sep 01, 2020",2,fundamentals-of-reinforcement-learning
"I was lost while studying this course many times. Often the critical concepts were just spoken, at least have a PPT of critical concepts",By Naman K N,"Jun 30, 2020",2,it-security
The IBM tools are so unfriendly to new users,By Abdelkarim B,"Mar 04, 2020",2,sql-data-science
"A mi parecer le falta una parte práctica mas amplia, pues los ejercicios son bastante dirigidos y apenas hace falta pensar, con cortar y pegar ya tienes el 90% de las prácticas realizadas, con lo que se hace mas difícil el asimilar los conceptos.",By Rodrigo B G,"Jun 14, 2016",2,intro-data-science-programacion-estadistica-r
I've already discovered a few errors in the grading and a few misleading questions made to confuse people with bad wording. I was expecting much more quality. I've been able to make 100s on everything but there are just far too many bugs. Very disappointed I allowed it to renew. Never again. Avoid Coursera. ,By Tony R,"Jul 31, 2020",2,python-crash-course
"The subject is fascinating, the instructor is undoubtly competent, but there is a strong feeling of lower quality with respect to the other 4 courses in the Spec (in particular the first 3). Many things in this course are only hinted to, without many details. Man things are just said but not really explained. Many recording errors as well. Maybe another week could have helped in having a little more depth in the subject",By daniele r,"Jul 15, 2019",2,nlp-sequence-models
The instruction is not so clear. Many mistake launch and grader does not run to score your submission.,By Nhan T N,"Jun 21, 2019",2,ds
"I found this to be a disappointing course. The Tableau parts
have no real added value on top of what's available for free on Tableau's site.Unfortunately I felt the course had too much
""fluff"" and not enough technical knowledge. For a course titled,
""fundamental of Visualization with TABLEAU,"" I expected a lot more of
Tableau to be covered. All you get from this course is how to connect to data
sources. Disappointed.The fact that the assignments are peer reviewed put you in a
dead lock. You are at the mercy of ""peers"" that do not even check
the answers you provide and are just plainly rude. Disappointing.",By Mona F,"Jul 14, 2020",2,data-visualization-tableau
"I loved learning the topics and the pace for viewing and completing the course was good. I also liked the structure of video, reading, and quizzes. But I constantly had to pause and back up the video to see where the instructor was clicking. There were just way too many glitches. I left comments on many of them, but noted in the blog section that many others had already noted the same problems, yet they had not been fixed. I was never able to take notes in the app as was suggested. (But I did use old fashioned pencil paper) At least 3 wrong answers were found in the tests/answer sheets. These too had already been documented by other users, but not fixed.",By Kris A L,"Jun 11, 2020",2,getting-started-with-google-sheets
"Es un buen curso para una persona que no sabe nada sobre Marketing, para profesionales del área es un curso de pre-grado, bastante obsoleto en sus ejemplo e hipótesis, la verdad es que siempre es útil aprender o refrescar conocimiento, pero es un curso bastante ochentero.",By Daniela O,"Apr 17, 2020",2,marketing-gerencial
the course would be better if it had more labs and hands-on exercises. ,By Nima C,"Sep 17, 2019",2,gcp-infrastructure-scaling-automation
"Rather poor way to get hands on learning. The ""lab"" does not offer an effective way to learn. This course was a poor substitute for a real instructor. Also, the last two weeks' material became more complicated but the information supplied to learn it did not increase nor provide clear or different explanations.",By Steve S,"Jan 07, 2019",2,data-analysis-with-python
Instructions were very hard to follow. Course needs an update,By Gael T Y,"Mar 31, 2020",2,open-source-tools-for-data-science
"Not very helpful. In the homework I spent more time wrestling with commands in R than actually gaining an understanding of the subject matter. 
Also, I really didn't need so many subject matter examples about the professor's baby's pooping habits. (And my family is Dutch with all the offensive humor that comes with it, so it's not just a matter of the sense of humor not translating)

I'm re-taking Statistics with Calculus online at my local state university and frankly, I can't notice any benefit from taking this course first. My current online Statistics with Calculus course is rewarding and I feel like I'm truly gaining mastery of the topics, whereas in the Basic Statistics course I was floundering.   The graphics in the way the lessons are presented are well done! But I would have been just fine with fewer graphics if it meant more worked-through examples.",By Courtney v S,"Nov 10, 2016",2,basic-statistics
"As an experienced programmer, I am unimpressed.  The assignments cover a good set of tools; file i/o, lists, dictionaries, et cetera.  I would introduce classes before getting into data structures; this would emphasize the critical elements of modularity and reusability.  Also, variables and files are poorly named.  Comments are lacking.  Overall, the presentation looks rushed and unpolished.  Code looks like it was hobbled together until it worked and never edited for clarity.  If someone I cared about wanted examples of good programming, I would tell them to avoid this.",By Alan M R,"Jan 10, 2018",2,python-data
"Progressing a bit slow at times, and too often stating the obvious. Positives: Good frameworks though, and plenty of examples.",By Clemens W,"Aug 17, 2016",2,gamification
The course is too slow. The material covered is often irrelevant. The illustrations are completely off and the message that the professor is trying to convey does not get through very easily. It is painful to follow. ,By Vassilena G,"Jun 27, 2020",2,writing-editing-words
Any app available for hacking,By Himanshu s,"Jul 20, 2020",2,introduction-cybersecurity-cyber-attacks
.الشرح كان مجرد سرد يصعب الفهم منه، لذلك نحتاح في كل درس تمضية وقت طويل للبحث عن طرق اسهل للفهمولكن التدرج في المعلومات كان ناجحا وممتاز,By Manal H,"Mar 11, 2019",2,computer-networking
Too much theory and little application. I felt like I heard about a lot of things but did not learn much. ,By Mouni R,"May 21, 2017",2,technology-of-music-production
I don't feel learning much after the class. Particularly I think the video should be better made to present the spreadsheet content more clearly and i think there should be more emphasis on important points during the lecture session.,By Joanne Z,"Dec 25, 2016",2,wharton-introduction-spreadsheets-models
"had to contact customer service  for qwiklabs twice due to it bugging out & becoming unusable.Also if you go outside of the ""Script"" & miss one step in the instructions for an exercise, it becomes really hard to figure out what it was that you did wrong.Lastly this is definately not a ""compressed course"". It could be completed it one week if you literally dedicated a whole week of time to it but for those of us who are doing this part time & actually want to absorb the content, expect to plan for 2-3 weeks",By Paul C,"Dec 11, 2018",2,gcp-big-data-ml-fundamentals
"Compared to the previous two courses, this one is poorly structured, rushed and unclear",By Eleri K,"Aug 25, 2020",2,python-network-data
"no available explanation of problem sets makes ""learning""/full understanding frustrating to impossible",By JENNIFER P,"Jul 14, 2020",2,wharton-finance
Terrible quizzes,By arthur337,"Aug 16, 2018",2,wharton-introduction-spreadsheets-models
The programming assignments really are like pulling teeth.  There's not really enough guidance leading up to them.,By Thomas A,"Oct 10, 2019",2,nlp-sequence-models
"Didn't find this course very useful what I was looking for, boring!",By Himadri S S,"May 01, 2020",2,python-network-data
"Al inicio del curso me pareció muy útil, sin embargo a medida que avanzó fue perdiendo matices. Lo lamento pero a la expositora le falta domino del tema o al menos eso transmite. Quizá le falta más experiencia y de ser así, siga adelante.",By M.Pierina G,"Apr 07, 2019",2,camino-excelencia-gestion-proyectos
I know it was an Introduction to personal branding kinda course but the topic still too basic for learners especially in this 2020,By Wasinee T,"Apr 29, 2020",2,personal-branding
"Very, very basic course. Mainly a marketing tool for IBM Cloud. If it would've been free it would've been worth it.",By Sebastian K,"Feb 26, 2020",2,python-for-applied-data-science-ai
The lectures were taught far above the heads of my colleagues and I and the practical exercises were far too simple. I really wish the instructor took a course on pedagogy or went through Software Carpentry instructor training.,"By HAMM,CHRISTOPHER A","May 26, 2018",2,convolutional-neural-networks
"The subject of this course is awesome and very interesting. But the effort that Berklee put into it is a little less than what they share on their official website. I completed a Certificate with Berklee online and I do recommend Berklee Online courses, with written lessons and interactive works.P.S.: the videos stop many times and this makes it a little harder to follow.",By Aurora D,"May 11, 2020",2,music-business-foundations
the topics should be explained more in details with some complex real-time examples,By Rahul B,"Jan 29, 2019",2,python-data
"I didn't really like the course, because it was overwhelmingly detailed and, in my opinion, it is not an introduction in this field, because it requires some background knowledge and it is not sufficient to have only desire for passing the course. Ultimately, I'm not satisfied with this course.",By Beka K,"Nov 03, 2017",2,systems-thinking
"I understand that this is a multiple choice type assessment course, however many of the questions were created based on the professor's definitions, and quite often they used trickery around what is very grey lines between the choices. I felt in many cases many of the answers were highly subjective and could depend on multiple variables, that were left out. A better course would be like the Gamification one I did, wherein I explained my rationale given scenarios. I feel overall this would be a more reinforcing method of learning these theories.",By Ralph M,"Nov 20, 2017",2,uva-darden-digital-product-management
"Not much content for an entire ""course"", but hopefully a good introduction to the rest of the series.",By Courtney S,"Jun 24, 2018",2,introduction-genomics
"When you are here, after learning Python you don't expect from your instructor to tell us that he is importing a library by using an XYZ command but you surely expect from him to tell what that library does. It took so much extra effort to complete the course.",By Atharva D G,"Jun 17, 2020",2,python-data-analysis
"I noticed that w/in the course video's there were numerous cases of misspelled words and even some incorrect information. Regardless, it didn't prevent me from learning the material, however I would expect more precision from Johns Hopkins. Additionally, the narrator (at times) seemed as if he was getting exhausted/running out of fuel towards the end of each lesson. Some of the instruction isn't exactly clear, i.e. the instructions for installing R, RStudio & Git. Perhaps you all are attempting to make the student engage in some heuristic thinking? When it comes to a class like this, precise and clear instructions are a necessity, especially to novices. Regardless, I look forward to continuing to learn. :-) ",By Louie M,"Mar 11, 2018",3,data-scientists-tools
it was good,By vishnu p,"Aug 01, 2017",3,corporate-finance-essentials
Peer-reviewed assignments are quite confusing and basically unnecessary.,By Vlado S,"Aug 12, 2019",3,data-visualization-tableau
"  It gave much more industry driven approaches to improving the model. I as a student don't have that much experience with deeplearning and that' why I couldn't relate with most of the topics that were going on here. Of course, the  teaching quality was supreme. But the course's contents itself felt a little bit dry to me.  ",By mythorganizer,"Aug 28, 2020",3,machine-learning-projects
"A bit too theoretical, a list of information. Only the last Video was a bit interaction with other researchers",By Silke S,"Sep 24, 2020",3,introancientegypt
"I found this course to be a bit confusing with regards to what data set (training/dev/test) to fix under what conditions and so on. I've also missed having a practical home work, the case studies were fine, but I find that practical applications help me remember things better.",By Andrej P,"Jan 26, 2018",3,machine-learning-projects
"Michel lectures very vividly and keeps it interesting, however there seems to be so many assumptions towards students, too much assumed knowledge for someone who has zero knowledge in finance (like me)...still leaves me with quite a lot of unanswered questions. ",By Chantelle D S,"Sep 09, 2020",3,understanding-financial-markets
"This whole course was  explained in one week of the ML course by Andrew Ng, maybe  that week was more comprehensive than this one!",By Asmaa,"Mar 01, 2018",3,neural-networks-deep-learning
The video lectures were different and the assignments are very high level.  Very difficult to understand the assignments.,By Shwetha N,"May 23, 2020",3,r-programming
I learned basics in python. Instructor is too good.,By ASHUTOSH G,"Apr 02, 2020",3,python
"Generally this is a really amazing course. Dr. Ng presented it in a way that it can be understood relatively easily considering the difficulty of content. However, there are a few things that degraged the course that can otherwise  be rated five stars. First, the mathematial derivations are not clear enouth. Many vital steps of derivation in the forward and backward propagation are skipped and only the final expressions are given. It did a lot harm to the completeness and rigorousness of the course. As for me, I can derive the missing steps by myself as I learned calculus and the linear algebra. But it still good to include the derivations for our convenience. It's not necessary to derive them in the lecture, but still we need some materials that document the derivations.  Second, Jupyter notebook is not a good choice for the course. The code for each assignment is not so easy. It's better to write the functions in separate files and write a main function to call them. The description is better written in a PDF file. If it is done this way, it will save me a lot of efforts by getting rid of scrowing the mouse up and down repeatedly to check every function. ",By Wenjie Y,"Sep 07, 2020",3,neural-networks-deep-learning
"It is a good course, but I'm not sure it's simple enough for beginners - it doesn't teach you all the steps you need to know",By Jordan R W,"Mar 21, 2016",3,duke-programming-web
Wish that the course could consider expectations from an Indian lyric writer. It is good for the students who have a background in Hollywood or west movies / songs.,By Richa H,"Apr 05, 2020",3,songwriting-lyrics
"Muy básico, pero bastante útil para recordar lo aprendido en excel",By Jorge C,"Sep 28, 2020",3,excel-data-analysis
"Few issues with the labs, it's quite frustrating.The quiz's answers are sometimes really mysterious.",By Hugo		Meloni,"Jun 15, 2020",3,google-kubernetes-engine
Lovely course. ,By Saad Z S,"Jul 12, 2020",3,wharton-success
"I thought this course will be a bit more helpful, there were some good methods I learned like the pomodoro and other concepts I wan't aware of before. Dr. Terry Sejnowski might be very knowledgeable but he can't read a teleprompter and it makes his videos very hard to focus.Overall it was a good course ",By Yossi W,"Dec 03, 2016",3,learning-how-to-learn
It was difficult to complete the work in the allotted time.  The transcripts helped.  I wish I had noticed that these were available earlier.  I suggest a quick start module outlining the features of this course.,By Paul J,"Jun 15, 2020",3,os-power-user
Would be better if some examples were there after the topic completion,By Junaid K,"Aug 10, 2020",3,six-sigma-principles
"Overall I learned a lot in this course, although that comes with a caveat. Some of the more difficult content was breezed over, and I found myself searching outside the coursework to get a better explanation (particularly with probability and most of the R tools.) That being said, if this course is useful as a series of benchmarks to guide you with your own research.",By Noah W,"Jun 19, 2019",3,probability-intro
"Curso de abordagem superficial, porem com bom conteúdo!",By Felipe M,"Jun 12, 2020",3,estrategia-marketing-digital
videos are someway useful. But I have faced difficulty to find IBM Watson Studio. The Link that was shared in the videos are not directing to the actual watson studio link. Please  add the actual link,By SHAONI C,"Sep 25, 2019",3,open-source-tools-for-data-science
"This was a little light, despite the fact that this is not my area of expertise.  It was a goo start overall, tho.",By Suki S,"Mar 21, 2016",3,introduction-genomics
More on the history of SEO rather than tactics.,By Louise S,"Jan 26, 2017",3,search-engine-optimization
It is very easy to understand,By Yuvarani.P,"Aug 04, 2020",3,big-data-introduction
"Not as in-depth as I thought it was going to be. Definitely a beginner course, that touches on major topics. But all of the information is very high level and basic.",By Zia M,"Sep 24, 2020",3,technical-support-fundamentals
Good explanation by using case study.,By Ratnesh S,"May 29, 2020",3,marketing-digital
wish you covered more content per subject in 1-3 week material that I was able to read up in provided reading material links. It is easier for a learner these days :) Some quiz questions were covered in there and not your video trainings. thanks again.,By usman s,"Sep 18, 2020",3,aws-fundamentals-addressing-security-risk
"unable to understand, and i am unable to complete this course. ",By Pradeep K R A,"May 11, 2020",3,aws-machine-learning
course is ok,By Shreyas V,"May 17, 2020",3,python-for-data-visualization
"It is a good introductory course to start with. It has a lot of potential, but I feel it could've been a lot more challenging.",By Ville V,"Feb 24, 2018",3,data-visualization-tableau
"This course is challenging, however, I am glad I got understanding.",By Mark N,"Apr 27, 2020",3,gcp-fundamentals
The course taught me a lot. It could have been a little more interactive though,By Shubham P,"Aug 20, 2020",3,html-css-javascript-for-web-developers
"I got initial overview of Python, I need to know numpy statistical tool .",By Susobhan B,"Aug 04, 2020",3,python
good,By Carl D A,"Aug 13, 2020",3,sql-for-data-science
This is an informative course as you will know many things. But they should make the video interesting and change the instructor as well.,By S.M A H,"Apr 16, 2020",3,motivate-people-teams
too easy and pretty long for me,By Sennikov V,"Oct 31, 2015",3,python
"First part is quite intresting, but then lectures are too long and repetitive. I suppose previous course was much better. ",By Kseniia L,"Mar 06, 2018",3,understanding-arguments
Few tools on Xls has been shown.More extensive and complex problem are required on use of Monte Carlo method,By Davide B,"Jun 09, 2016",3,wharton-introduction-spreadsheets-models
"Too slow, too vague, but you can feel the ideas behind have potential.",By Alexis P,"Sep 07, 2015",3,learning-how-to-learn
"I like the way the course use simple machine learning technic to solve a complicated problem, for someone who likes mathematic a lot could be done in explaining mathematic concepts, the assignment could be improved by using unit testing.",By Espoir M,"Sep 15, 2020",3,classification-vector-spaces-in-nlp
Course explores various areas on GCP Infrastructure scaling as well the automation tools. Labs can be made more interesting and engaging by allowing to replicate a small real life problem.,By Bipul S,"May 07, 2020",3,gcp-infrastructure-scaling-automation
"The audio on many videos shot indoors on phone  was inaudible, video was shaky.",By S J V R,"Jun 10, 2020",3,personal-branding
"The course should be easy and simple, by the way, the course is good, thank you.",By Abdul B B,"May 05, 2020",3,wharton-communication-skills
Good course about personal finance but Some of the links were broken and course is specified to US and also need to give  links of Financial calculator.,By Zubair R,"Apr 05, 2020",3,family-planning
"Es un buen curso al principio, un poco básico. Te enseña a instalar el programa R y GitHub, siento que si no estás familiarizado con programar, puede que no te sirva mucho. Por el otro lado, si ya lo sabes hacer, puede ser que sea repetitivo. Acabe el curso en 3 días, así que es un poco breve para el tiempo para el que está programado. ",By Aketzali A A C,"May 26, 2020",3,data-scientists-tools
The person at the course videos was a bit difficult to understand and follow,By Maria A,"Jan 21, 2020",3,front-end-react
"  It is a basic course for those who want a general idea on diplomacy, the information wasn't up to date, and there wasn't a lot of feedback in the debate area. It had low participation, at least in my cycle.   ",By Mirna M R A,"Jun 12, 2020",3,global-diplomacy
To long,By William B,"Jul 08, 2020",3,technical-support-fundamentals
It is ok but very small,By Christina,"Nov 30, 2016",3,speak-english-professionally
"I found Week 1,2,3 with Professor Bushee hard to digest and the exams were not easy. I expected better explanations of the concepts. I found the other instructors in other parts of the specialization way more effective. ",By Abed A,"Apr 26, 2020",3,accounting-analytics
"she can go in depth more and give us more and more information. but still, i like it.thank you coursera",By SeyedKamalAddin R,"Apr 04, 2016",3,seo-fundamentals
"Maybe it's great for beginner, but  the assignment is too easy . ",By 孟宇伟,"May 13, 2016",3,python-network-data
Unbelievably difficult for understanding! ,By Alexandra,"Sep 18, 2016",3,learn-speak-korean1
"Good course, but I was plagued by Qwiklabs issues, otherwise 4 stars due to sometimes strange jumps between topics.",By N J,"Apr 05, 2018",3,gcp-exploring-preparing-data-bigquery
"My only complaint is that there is too little actual videos while the quizzes required us to study A LOT beyond the videos. Videos could have been much more comprehensive with more examples. That being said, I have never found a course so relevant and challenging. ",By J Y T,"Jan 06, 2018",3,duke-behavioral-finance
im not an expert but already knew alot from this course.  I still learnt a few things though so not all bad and great for beginners. ,By Dianne H,"May 15, 2020",3,cats-and-dogs
This is an introduction course. I would like see more advanced courses. ,By İsmail k,"Sep 27, 2019",3,wind-energy
"It's completed, right? Otherwise, how can I rate it? But why the status still shows in-progress? ",By DING H,"Apr 25, 2020",3,professional-emails-english
Many of the ideas taught in course are useful to consider when writing. It was challenging to write with such a focus on action and plot. Some of the explanations seemed oversimplified (using Harry Potter in numerous examples throughout the course) and some of the assignments were odd (you have to kill-off your protagonist in 2 out of the 4 assignments). ,By Margaret E H,"Jun 14, 2020",3,craft-of-plot
"I did not have a lot of experience in machine learning, so this course was very good in the aspect of introducing people to machine learning concepts. Most of the times the material was very well explained, and I like the concept of the tutor writing on the screen at the same time they are presenting, personally it helps me more. Some of the quizzes were easy so you did not need a lot of preparation, some of them were more difficult or troublesome, like the quiz for Deep Learning. I also liked the graphlab module, I think that learning how to use it will help me with my own work. However, as this course does not really go in depth in the algorithms themselves, I feel that after one month and a half I have a basic idea, but I haven't learned much about how to implement machine learning on my own even in basic things, while other courses have more or less the same time frame and are more dense in their material. In my opinion, this whole introductory course would just be just splitted and each of these intrductory weeks would be appended as the first week of the subsequent modules to come. Because anyways, after 4 months in the specialization, if somebody continues to the recommender systems module for example, he/she would have forgotten the basics of this so they would need to cover again the recommender systems week in this course. And from the other hand, if some introduction is again repeated in the subsequent modules, then why have this introductory course anyways?Thanks.",By Sofia P,"Mar 12, 2016",3,ml-foundations
Lab exercise would be helpful,By Shanti R,"Nov 26, 2019",3,aws-fundamentals-going-cloud-native
"The code assignments are quire ""spoon-feeding"" and do not require much thought. Most of it can be solved by reading the previous paragraph or guessing from the signatures (e.g ""I'm required to assign to cache, which of the previous methods return a variable named cache?"") without real understanding.Lectures themselves are nice.",By Yiftach B,"Sep 29, 2020",3,neural-networks-deep-learning
This course need more practical demonstration on the services explained. ,By Bhushan K,"May 13, 2020",3,aws-fundamentals-addressing-security-risk
"I really think this course could benefit from some more hands-on exercises and practical examples. As it is now, to really benefit from the contents of this course, you have to do your own practical experiments on the side. Also, the female teacher had a very hard to understand accent in some of the videos, and the subtitles had too many errors in them to be useful. They were both very charming though. The quizzes were slightly harder than in the first part of the specialization, which was a very good thing. It forced you to delve deeper into the actual documentation. ",By Kristian D,"Jul 27, 2020",3,aws-fundamentals-addressing-security-risk
Informational and the games a fun,By TC,"Jul 24, 2020",3,geopolitics-europe
"I found the instructor's pre-recorded lectures helpful. I would have liked to have had more interaction with the instructor -- either through Discussion, Office Hours or even a one-time event. The one note I did receive from the professor about half-way through the course felt canned and generalized. It seemed to be a message to everyone. The material and prompts were helpful, though the discussion forums were not always. I also think the syllabus should include step-by-step instruction for submission and review as a lot of people were frustrated by these.",By Foula,"Jul 28, 2020",3,memoir-reader-relationship
This is a very helpful course,By Deleted A,"Sep 02, 2016",3,introcss
I enjoyed the course but at times I did find it very dry. The content and later chapters that related more to behavioural economics interested me more but all round I found it a great course and I am happy that I did it.,By Jade F,"Jun 17, 2020",3,neuroeconomics
"the teacher is too funny, but this course has to be actualized a little bit. ",By Dyankar A A C,"Sep 16, 2020",3,personal-branding
